% time	cellId	IMSI	RNTI	rsrp	sinr	ComponentCarrierId
0.381214	1	1	1	7.90185e-15	26.4021	0
0.382214	1	1	1	7.89748e-15	26.3874	0
0.383214	1	1	1	7.89311e-15	26.3729	0
0.384214	1	1	1	7.88875e-15	26.3583	0
0.385214	1	1	1	7.88439e-15	26.3437	0
0.386214	1	1	1	7.88003e-15	26.3291	0
0.387214	1	1	1	7.87567e-15	26.3146	0
0.388214	1	1	1	7.87132e-15	26.3	0
0.389214	1	1	1	7.86697e-15	26.2855	0
0.390214	1	1	1	7.86262e-15	26.271	0
0.391214	1	1	1	7.85828e-15	26.2565	0
0.392214	1	1	1	7.85394e-15	26.242	0
0.393214	1	1	1	7.8496e-15	26.2275	0
0.394214	1	1	1	7.84526e-15	26.213	0
0.395214	1	1	1	7.84093e-15	26.1985	0
0.396214	1	1	1	7.8366e-15	26.184	0
0.397214	1	1	1	7.83228e-15	26.1696	0
0.398214	1	1	1	7.82795e-15	26.1551	0
0.399214	1	1	1	7.82364e-15	26.1407	0
0.400214	1	1	1	7.81932e-15	26.1263	0
0.401214	1	1	1	7.815e-15	26.1119	0
0.402214	1	1	1	7.81069e-15	26.0975	0
0.403214	1	1	1	7.80639e-15	26.0831	0
0.404214	1	1	1	7.80208e-15	26.0687	0
0.405214	1	1	1	7.79778e-15	26.0543	0
0.406214	1	1	1	7.79348e-15	26.04	0
0.407214	1	1	1	7.78918e-15	26.0256	0
0.408214	1	1	1	7.78489e-15	26.0113	0
0.409214	1	1	1	7.7806e-15	25.9969	0
0.410214	1	1	1	7.77631e-15	25.9826	0
0.411214	1	1	1	7.77203e-15	25.9683	0
0.412214	1	1	1	7.76775e-15	25.954	0
0.413214	1	1	1	7.76347e-15	25.9397	0
0.414214	1	1	1	7.7592e-15	25.9254	0
0.415214	1	1	1	7.75492e-15	25.9111	0
0.416214	1	1	1	7.75065e-15	25.8969	0
0.417214	1	1	1	7.74639e-15	25.8826	0
0.418214	1	1	1	7.74212e-15	25.8684	0
0.419214	1	1	1	7.73786e-15	25.8541	0
0.420214	1	1	1	7.73361e-15	25.8399	0
0.421214	1	1	1	7.72935e-15	25.8257	0
0.422214	1	1	1	7.7251e-15	25.8115	0
0.423214	1	1	1	7.72085e-15	25.7973	0
0.424214	1	1	1	7.71661e-15	25.7831	0
0.425214	1	1	1	7.71236e-15	25.7689	0
0.426214	1	1	1	7.70812e-15	25.7548	0
0.427214	1	1	1	7.70389e-15	25.7406	0
0.428214	1	1	1	7.69965e-15	25.7264	0
0.429214	1	1	1	7.69542e-15	25.7123	0
0.430214	1	1	1	7.69119e-15	25.6982	0
0.431214	1	1	1	7.68697e-15	25.6841	0
0.432214	1	1	1	7.68274e-15	25.67	0
0.433214	1	1	1	7.67853e-15	25.6559	0
0.434214	1	1	1	7.67431e-15	25.6418	0
0.435214	1	1	1	7.6701e-15	25.6277	0
0.436214	1	1	1	7.66588e-15	25.6136	0
0.437214	1	1	1	7.66168e-15	25.5996	0
0.438214	1	1	1	7.65747e-15	25.5855	0
0.439214	1	1	1	7.65327e-15	25.5715	0
0.440214	1	1	1	7.64907e-15	25.5574	0
0.441214	1	1	1	7.64487e-15	25.5434	0
0.442214	1	1	1	7.64068e-15	25.5294	0
0.443214	1	1	1	7.63649e-15	25.5154	0
0.444214	1	1	1	7.6323e-15	25.5014	0
0.445214	1	1	1	7.62812e-15	25.4874	0
0.446214	1	1	1	7.62394e-15	25.4735	0
0.447214	1	1	1	7.61976e-15	25.4595	0
0.448214	1	1	1	7.61558e-15	25.4455	0
0.449214	1	1	1	7.61141e-15	25.4316	0
0.450214	1	1	1	7.60724e-15	25.4177	0
0.451214	1	1	1	7.60307e-15	25.4037	0
0.452214	1	1	1	7.59891e-15	25.3898	0
0.453214	1	1	1	7.59474e-15	25.3759	0
0.454214	1	1	1	7.59059e-15	25.362	0
0.455214	1	1	1	7.58643e-15	25.3481	0
0.456214	1	1	1	7.58228e-15	25.3343	0
0.457214	1	1	1	7.57813e-15	25.3204	0
0.458214	1	1	1	7.57398e-15	25.3065	0
0.459214	1	1	1	7.56983e-15	25.2927	0
0.460214	1	1	1	7.56569e-15	25.2789	0
0.461214	1	1	1	7.56155e-15	25.265	0
0.462214	1	1	1	7.55742e-15	25.2512	0
0.463214	1	1	1	7.55328e-15	25.2374	0
0.464214	1	1	1	7.54915e-15	25.2236	0
0.465214	1	1	1	7.54503e-15	25.2098	0
0.466214	1	1	1	7.5409e-15	25.196	0
0.467214	1	1	1	7.53678e-15	25.1823	0
0.468214	1	1	1	7.53266e-15	25.1685	0
0.469214	1	1	1	7.52855e-15	25.1547	0
0.470214	1	1	1	7.52443e-15	25.141	0
0.471214	1	1	1	7.52032e-15	25.1273	0
0.472214	1	1	1	7.51621e-15	25.1135	0
0.473214	1	1	1	7.51211e-15	25.0998	0
0.474214	1	1	1	7.50801e-15	25.0861	0
0.475214	1	1	1	7.50391e-15	25.0724	0
